,nome_ocorrencia,qnt_ocorrencia,freq_ocorrencia
11,Hipertensao essencial (primaria),152,13.818181818181818
6,Insuficiencia cardiaca congestiva,123,11.181818181818182
9,"Hipertensao secundaria, nao especificada",73,6.636363636363636
7,"Dor toracica, nao especificada",59,5.363636363636363
4,"""Flutter"" e fibrilacao atrial",41,3.727272727272727
50,Broncopneumonia nao especificada,36,3.272727272727273
2,Transtorno ansioso nao especificado,34,3.090909090909091
23,Mialgia,33,3.0
1,Palpitacoes,33,3.0
28,Outros disturbios do metabolismo de lipoproteinas,29,2.6363636363636362
32,Diabetes mellitus nao especificado sem complicacoes,27,2.4545454545454546
29,Diabetes mellitus nao especificado,25,2.272727272727273
13,Cefaleia,23,2.090909090909091
31,Presenca de marca-passo cardiaco,22,2.0
15,Infarto agudo do miocardio nao especificado,21,1.9090909090909092
8,Dispneia,20,1.8181818181818181
63,Doenca pulmonar obstrutiva cronica nao especificada,18,1.6363636363636365
25,Arritmia cardiaca nao especificada,17,1.5454545454545454
46,Sincope e colapso,16,1.4545454545454546
10,Outros transtornos ansiosos,13,1.1818181818181819
49,"Acidente vascular cerebral, nao especificado como hemorragico ou isquemico",12,1.090909090909091
5,Dor precordial,12,1.090909090909091
26,Angina instavel,12,1.090909090909091
19,Angina pectoris,10,0.9090909090909091
16,Miosite nao especificada,10,0.9090909090909091
36,Tosse,10,0.9090909090909091
14,Doenca de Chagas,10,0.9090909090909091
0,"Mal estar, fadiga",10,0.9090909090909091
72,"Hipertensao pre-existente complicando a gravidez, o parto e o puerperio",9,0.8181818181818182
18,Sindrome de dependencia de sedativos e hipnoticos,9,0.8181818181818182
43,Disturbio nao especificado do metabolismo de lipoproteinas,9,0.8181818181818182
48,Dispepsia,8,0.7272727272727273
52,Outras formas de doenca isquemica aguda do coracao,8,0.7272727272727273
12,Dor em membro,7,0.6363636363636364
41,Taquicardia supraventricular,6,0.5454545454545455
3,Outras formas de despolarizacao prematura e as nao especificadas,6,0.5454545454545455
24,Exame medico geral,6,0.5454545454545455
33,"Angina pectoris, nao especificada",5,0.45454545454545453
93,hipotensão ortostática,5,0.45454545454545453
55,Outras arritmias cardiacas especificadas,5,0.45454545454545453
77,Tontura e instabilidade,5,0.45454545454545453
102,Outras afeccoes especificadas das arterias e das arteriolas,4,0.36363636363636365
60,Ansiedade generalizada,4,0.36363636363636365
