,Labels,Silhouette_samples
0,134,1.0
1,614,0.5212010677251669
2,121,1.0
3,323,-0.12319356208040157
4,132,1.0
5,185,0.8709516880000504
6,726,0.5602530301936086
7,121,1.0
8,200,0.9999999790419378
9,200,0.9999999790419378
10,63,0.46945816530875917
11,63,0.46945816530875917
12,63,0.46945816530875917
13,63,0.46945816530875917
14,63,0.46945816530875917
15,63,0.46945816530875917
16,121,1.0
17,396,0.0
18,734,0.27272901419396034
19,134,1.0
20,121,1.0
21,121,1.0
22,428,0.6843749625994984
23,51,1.0
24,58,0.020994164355489238
25,121,1.0
26,552,0.3131780073317245
27,718,0.8710412995204881
28,121,1.0
29,191,0.03420833039663824
30,497,0.28620125435232824
31,497,0.28620125435232824
32,497,0.28620125435232824
33,435,0.2979271858629415
34,435,0.2979271858629415
35,582,0.09974788883148981
36,582,0.09974788883148981
37,38,0.0
38,132,1.0
39,718,0.8710412995204881
40,74,0.5567392809039946
41,74,0.5567392809039946
42,74,0.5567392809039946
43,158,0.22860347436950693
44,134,1.0
45,682,0.05970410581739117
46,583,0.8251201669781393
47,22,-0.005402844419965859
48,326,0.3269059712745665
49,318,1.0
50,595,0.31029566979021933
51,595,0.31029566979021933
52,595,0.31029566979021933
53,595,0.31029566979021933
54,318,1.0
55,632,0.2521632830074686
56,609,0.46834126376371016
57,609,0.46834126376371016
58,609,0.46834126376371016
59,609,0.46834126376371016
60,609,0.46834126376371016
61,157,0.2591325173804371
62,121,1.0
63,737,1.0
64,358,0.33581968990375544
65,277,0.5303408178652869
66,277,0.5303408178652869
67,277,0.5303408178652869
68,277,0.5303408178652869
69,9,0.19187907064362908
70,168,0.02466086510592971
71,378,0.18052212128394854
72,737,1.0
73,134,1.0
74,475,-0.11006276868000349
75,191,0.21934812809423485
76,618,0.15321627615261404
77,318,1.0
78,170,0.4692849467935108
79,121,1.0
80,1,0.015428432238787392
81,121,1.0
82,134,1.0
83,121,1.0
84,714,0.36774334184866103
85,35,1.0
86,35,1.0
87,35,1.0
88,35,1.0
89,35,1.0
90,35,1.0
91,35,1.0
92,559,0.6420288286539308
93,559,0.6420288286539308
94,559,0.6420288286539308
95,559,0.6420288286539308
96,559,0.6420288286539308
97,559,0.6420288286539308
98,559,0.6420288286539308
99,559,0.6420288286539308
100,559,0.6420288286539308
101,121,1.0
102,714,0.31275832914846885
103,301,0.30934066617951034
104,301,0.30934066617951034
105,301,0.30934066617951034
106,301,0.30934066617951034
107,301,0.30934066617951034
108,186,1.0
109,288,0.11648476073023842
110,503,1.0
111,134,1.0
112,134,1.0
113,496,0.16728084791641673
114,666,0.20872828643066527
115,734,0.3430470926321858
