,nome_ocorrencia,qnt_ocorrencia,freq_ocorrencia
11,Hipertensao essencial (primaria),153,15.438950554994953
6,Insuficiencia cardiaca congestiva,105,10.595358224016145
9,"Hipertensao secundaria, nao especificada",65,6.559031281533804
7,"Dor toracica, nao especificada",56,5.650857719475278
2,Transtorno ansioso nao especificado,37,3.733602421796166
4,"""Flutter"" e fibrilacao atrial",37,3.733602421796166
50,Broncopneumonia nao especificada,36,3.632694248234107
1,Palpitacoes,28,2.825428859737639
23,Mialgia,27,2.7245206861755804
28,Outros disturbios do metabolismo de lipoproteinas,25,2.5227043390514634
29,Diabetes mellitus nao especificado,25,2.5227043390514634
32,Diabetes mellitus nao especificado sem complicacoes,18,1.8163471241170535
13,Cefaleia,16,1.6145307769929365
82,Doenca pulmonar obstrutiva cronica nao especificada,16,1.6145307769929365
15,Infarto agudo do miocardio nao especificado,15,1.513622603430878
10,Outros transtornos ansiosos,13,1.3118062563067607
26,Angina instavel,12,1.2108980827447022
8,Dispneia,12,1.2108980827447022
36,Tosse,11,1.109989909182644
61,Bronquite nao especificada como aguda ou cronica,10,1.0090817356205852
60,Outras formas de doenca isquemica cronica do coracao,10,1.0090817356205852
19,Angina pectoris,10,1.0090817356205852
5,Dor precordial,10,1.0090817356205852
59,Doenca isquemica cronica do coracao nao especificada,9,0.9081735620585267
31,Presenca de marca-passo cardiaco,9,0.9081735620585267
16,Miosite nao especificada,9,0.9081735620585267
25,Arritmia cardiaca nao especificada,9,0.9081735620585267
57,Tontura e instabilidade,9,0.9081735620585267
18,Sindrome de dependencia de sedativos e hipnoticos,9,0.9081735620585267
14,Doenca de Chagas,9,0.9081735620585267
43,Disturbio nao especificado do metabolismo de lipoproteinas,9,0.9081735620585267
52,Outras formas de doenca isquemica aguda do coracao,8,0.8072653884964682
0,"Mal estar, fadiga",8,0.8072653884964682
48,Dispepsia,8,0.8072653884964682
46,Sincope e colapso,8,0.8072653884964682
41,Taquicardia supraventricular,7,0.7063572149344097
33,"Angina pectoris, nao especificada",6,0.6054490413723511
71,hipotensão ortostática,6,0.6054490413723511
12,Dor em membro,6,0.6054490413723511
24,Exame medico geral,5,0.5045408678102926
55,Outras arritmias cardiacas especificadas,5,0.5045408678102926
17,"Gastroduodenite, sem outra especificacao",5,0.5045408678102926
87,Dor localizada no abdome superior,4,0.4036326942482341
93,Outras afeccoes especificadas das arterias e das arteriolas,4,0.4036326942482341
77,Ansiedade generalizada,4,0.4036326942482341
101,Sopros e outros ruidos cardiacos,4,0.4036326942482341
40,Tireotoxicose nao especificada,4,0.4036326942482341
34,Pessoa com medo de uma queixa para a qual nao foi feito diagnostico,3,0.30272452068617556
49,"Acidente vascular cerebral, nao especificado como hemorragico ou isquemico",3,0.30272452068617556
21,Doenca nao especificada da valva mitral,3,0.30272452068617556
79,Episodio depressivo nao especificado,3,0.30272452068617556
22,Labirintite,3,0.30272452068617556
47,Bloqueio atrioventricular de segundo grau,3,0.30272452068617556
45,Cardiomiopatias nao especificada,2,0.20181634712411706
3,Outras formas de despolarizacao prematura e as nao especificadas,2,0.20181634712411706
92,Infarto agudo do miocardio,2,0.20181634712411706
85,Doenca de refluxo gastroesofagico sem esofagite,2,0.20181634712411706
27,Hipotensao nao especificada,2,0.20181634712411706
68,Febre nao especificada,2,0.20181634712411706
66,Comunicacao interventricular,2,0.20181634712411706
74,Doenca isquemica cronica do coracao,2,0.20181634712411706
51,Outra dor toracica,2,0.20181634712411706
54,Deplecao de volume,2,0.20181634712411706
58,Estenose (da valva) aortica,2,0.20181634712411706
44,Insuficiencia cardiaca,2,0.20181634712411706
56,Hipoglicemia nao especificada,2,0.20181634712411706
91,Outras doencas da valva tricuspide,1,0.10090817356205853
39,Erisipela,1,0.10090817356205853
86,Uso nocivo para a saude de fumo,1,0.10090817356205853
20,Arritmia ventricular por reentrada,1,0.10090817356205853
88,Infeccao do trato urinario de localizacao nao especificada,1,0.10090817356205853
89,Febre de origem desconhecida,1,0.10090817356205853
90,Outros disturbios funcionais subsequentes a cirurgia cardiaca,1,0.10090817356205853
42,Comunicacao ventriculo-atrial discordante,1,0.10090817356205853
83,Complicacao mecanica de dispositivo eletronico cardiaco,1,0.10090817356205853
94,Anestesia cutanea,1,0.10090817356205853
95,Cardiomegalia,1,0.10090817356205853
96,Ascite,1,0.10090817356205853
97,Anormalidades do batimento cardiaco,1,0.10090817356205853
98,"Osteocondropatias, nao especificada",1,0.10090817356205853
99,Taquicardia nao especificada,1,0.10090817356205853
100,Nausea e vomitos,1,0.10090817356205853
84,"Enxaqueca, sem especificacao",1,0.10090817356205853
30,Outras formas especificadas de doenca pulmonar obstrutiva cronica,1,0.10090817356205853
53,Soluco,1,0.10090817356205853
62,Transtornos nao especificados da funcao vestibular,1,0.10090817356205853
63,Insuficiencia mitral reumatica,1,0.10090817356205853
64,Sindrome [estado] de abstinencia do uso de alcool,1,0.10090817356205853
65,Asma,1,0.10090817356205853
35,"Gastroenterite e colite nao-infecciosas, nao especificadas",1,0.10090817356205853
67,Pneumonia nao especificada,1,0.10090817356205853
69,Outras gastrites,1,0.10090817356205853
70,Complicacao mecanica de enxerto de orgao urinario,1,0.10090817356205853
37,Infarto agudo transmural da parede inferior do miocardio,1,0.10090817356205853
72,Hipotensao,1,0.10090817356205853
73,Outros sintomas e sinais relativos A funcao cognitiva e A consciencia,1,0.10090817356205853
75,Infarto agudo transmural da parede anterior do miocardio,1,0.10090817356205853
76,Transtorno de panico [ansiedade paroxistica episodica],1,0.10090817356205853
38,Prolapso (da valva) mitral,1,0.10090817356205853
78,Rigidez articular nao classificada em outra parte,1,0.10090817356205853
80,Parestesias cutaneas,1,0.10090817356205853
81,Teste de tolerancia a glicose anormal,1,0.10090817356205853
